RING NO.,SPECIES,HISTORY,SEX,BILL,HEAD,TARSUS,WING,WEIGHT,DATE,TIME,LOCATION,YEAR
B0073,A. ochrolaemus,0,5,,,,96,9.5,25-Jul,6,Sacha Huasi,2004
AA0256,C. holochlora,0,,,,,70,15,25-Jul,7,Sacha Huasi,2004
AA0258,L. coronata,0,5,,,,60,8.5,25-Jul,7,Sacha Huasi,2004
AA0260,L. coronata,0,4,,,,57,7.9,25-Jul,7,Sacha Huasi,2004
AA0257,M. oleagineus,0,5,,,,60,10.6,25-Jul,7,Sacha Huasi,2004
AA0259,M. oleagineus,0,5,,,,60,9,25-Jul,7,Sacha Huasi,2004
A0281,P. albifrons,0,5,,,,69,19.5,25-Jul,7,Sacha Huasi,2004
A0282,P. albifrons,0,5,,,,73,17.5,25-Jul,7,Sacha Huasi,2004
AA0261,H. ochraceiceps,0,5,,,,58,12.4,25-Jul,8,Sacha Huasi,2004
G,P. malaris,0,5,,,,63,6.3,25-Jul,8,Sacha Huasi,2004
A0283,T. surinamus,0,3,,,,80,18.5,25-Jul,8,Sacha Huasi,2004
AA0263,G. spirurus,0,5,,,,72,15.4,25-Jul,9,Sacha Huasi,2004
AA0262,L. coronata,0,4,,,,59,9.5,25-Jul,9,Sacha Huasi,2004
A0284,M. manacus,0,4,,,,69,19.5,25-Jul,9,Sacha Huasi,2004
AA0264,L. coronata,0,3,,,,59,7.1,25-Jul,10,Sacha Huasi,2004
AA0265,M. oleagineus,0,5,,,,62,10.7,25-Jul,10,Sacha Huasi,2004
B0074,L. fulvus,0,3,,,,92,27.3,25-Jul,11,Sacha Huasi,2004
AA0266,M. hauxwelli,0,4,,,,54,11.5,25-Jul,11,Sacha Huasi,2004
A0285,M. regulus,0,4,,,,53,10,25-Jul,11,Sacha Huasi,2004
B0075,N. brunnea,0,5,,,,61,16,25-Jul,11,Sacha Huasi,2004
BLA,P. malaris,0,5,,,,61,6.8,25-Jul,11,Sacha Huasi,2004
A0288,C. arada,0,5,,,,62,23.9,26-Jul,6,Sacha Huasi,2004
A0290,C. arada,0,5,,,,,,26-Jul,6,Sacha Huasi,2004
A0291,C. arada,0,5,,,,65,23,26-Jul,6,Sacha Huasi,2004
B0076,H. ochrolaemus,0,3,,,,95,38.5,26-Jul,6,Sacha Huasi,2004
A0286,M. marginatus,0,5,,,,61,17.3,26-Jul,6,Sacha Huasi,2004
A0287,M. myotherinus,0,5,,,,63,20.9,26-Jul,6,Sacha Huasi,2004
B0077,S. caudacutus,0,5,,,,91,34.8,26-Jul,6,Sacha Huasi,2004
A0289,T. ardesiacus,0,3,,,,72,17.5,26-Jul,6,Sacha Huasi,2004
W,P. bourcieri,0,5,,,,61,5.1,26-Jul,7,Sacha Huasi,2004
BW,P. malaris,0,5,,,,63,7.1,26-Jul,7,Sacha Huasi,2004
A0292,C. holochlora,0,4,,,,65,151,26-Jul,8,Sacha Huasi,2004
AA0267,L. coronata,0,4,,,,59,9.7,26-Jul,8,Sacha Huasi,2004
BY,P. malaris,0,5,,,,64,7.1,26-Jul,8,Sacha Huasi,2004
G,P. bourcieri,0,5,,,,60,4.9,26-Jul,9,Sacha Huasi,2004
AA0268,L. coronata,0,4,,,,57,9.2,26-Jul,11,Sacha Huasi,2004
YW,P. malaris,0,5,,,,61,6.6,26-Jul,11,Sacha Huasi,2004
A0293,T. ardesiacus,0,3,,,,71,17,26-Jul,11,Sacha Huasi,2004
B0078,G. leucaspis,0,5,,,,76,28,27-Jul,7,Sacha Huasi,2004
B0079,G. leucaspis,0,,,,,72,,27-Jul,8,Sacha Huasi,2004
B0080,G. leucaspis,0,5,,,,73,26.5,27-Jul,8,Sacha Huasi,2004
B0081,L. fulvus,0,3,,,,89,22.5,27-Jul,8,Sacha Huasi,2004
AA0269,M. regulus,0,4,,,,51,10,27-Jul,8,Sacha Huasi,2004
A0296,P. erythrocephala,0,3,,,,61,10.7,27-Jul,8,Sacha Huasi,2004
A0294,T. schistaceus,0,5,,,,75,18.2,27-Jul,8,Sacha Huasi,2004
A0295,T. schistaceus,0,5,,,,70,19,27-Jul,8,Sacha Huasi,2004
BLA,P. bourcieri,0,5,,,,51,4.7,27-Jul,9,Sacha Huasi,2004
BBLA,P. malaris,0,5,,,,64,7.5,27-Jul,9,Sacha Huasi,2004
AA0270,G. spirurus,0,5,,,,69,14.5,27-Jul,10,Sacha Huasi,2004
A0297,H. poecilinota,0,4,,,,62,18,27-Jul,10,Sacha Huasi,2004
AA0271,L. coronata,0,1,,,,51,9.2,27-Jul,10,Sacha Huasi,2004
A0298,P. erythrocephala,0,3,,,,58,13,27-Jul,10,Sacha Huasi,2004
