Species,English,Family,Hab,Ev,Abund,Snst,Strat,Ind
Pheugopedius coraya,Coraya Wren,TROGLODYTIDAE,T/V,V,F,L,U,
Cantorchiluss leucotis,Buff-breasted Wren,TROGLODYTIDAE,T/V/S,S,F,L,U,
Henicorhina leucostica,White-breasted Wood-Wren,TROGLODYTIDAE,T,M (P),F,M,U,
Cyphorhinus arada,Musician Wren,TROGLODYTIDAE,T,S/V/M (P),F,H,T/U,
Microbates cinereiventris,Half-collared Gnatwren,POLIOPTILIDAE,T,M,U,H,U,
Donacobius atricapilla,Black-capped Donacobius,DONACOBIIDAE,M,S,R,M,U,
Catharus minimus,Grey-cheeked Thrush,TURDIDAE,T/S,M (P),U,M,A,
Catharus ustulatus,Swainson’s Thrush,TURDIDAE,T,M,U,M,A,
Turdus lawrencii,Lawrence’s Thrush,TURDIDAE,T/V,V/M (P),F,H,C,
Turdus albicollis,White-necked Thrush,TURDIDAE,T,M (P),F,M,U/M,
Hemithraupis flavicollis,Yellow-backed Tanager,THRAUPIDAE,T,S,U,M,C,
Volatinia jacarina,Blue-black Grassquit,THRAUPIDAE,SC,S,U,L,T/U,
Tachyphonus cristatus,Flame-crested Tanager,THRAUPIDAE,T,S/M,U,M,C,
